JOURNALCODE|JOURNALLIB|ECRITURENUM|ECRITUREDATE|COMPTENUM|COMPTELIB|COMPAUXNUM|COMPAUXLIB|PIECEREF|PIECEDATE|ECRITURELIB|DEBIT|CREDIT|ECRITURELET|DATELET|VALIDDATE|MONTANTDEVISE|IDEVISE|DATERGLT|MODERGLT|NATOP|IDCLIENT|
1A |A NOUVEAUX                    |1        |20240101|101000              |CAPITAL SOCIAL OU PERSONNEL                       |                    |                                                  |1A1                 |20240101|CAPITAL SOCIAL OU PERSONNEL                       |000000000000000|000000003225,37|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|164000              |EMPRUNT BPL 132.000¤                              |                    |                                                  |1A1                 |20240101|EMPRUNT BPL 132.000¤                              |000000000000000|000000106129,38|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|211000              |TERRAINS                                          |                    |                                                  |1A1                 |20240101|TERRAINS                                          |000000013350,00|000000000000000|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|213100              |CONSTRUCTIONS SUR SOL PROPRE                      |                    |                                                  |1A1                 |20240101|CONSTRUCTIONS SUR SOL PROPRE                      |000000075650,00|000000000000000|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |1A1                 |20240101|IMMO.CORPORELLES EN COURS                         |000000008732,35|000000000000000|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|281310              |AMORT.CONSTRUCTIONS SUR SOL PR                    |                    |                                                  |1A1                 |20240101|AMORT.CONSTRUCTIONS SUR SOL PR                    |000000000000000|000000001775,67|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|467000              |FONDS TRAVAUX FONCIA                              |                    |                                                  |1A1                 |20240101|FONDS TRAVAUX FONCIA                              |000000000750,41|000000000000000|    |        |20240926|               |          |        |     |                              |                              |
1A |A NOUVEAUX                    |1        |20240101|129000              |PERTE DE L'EXERCICE                               |                    |                                                  |1A1                 |20240101|Pertes                                            |000000012647,66|000000000000000|    |        |20240926|               |          |        |     |                              |                              |
AC |ACHATS                        |1        |20240101|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |01.04               |20240101|LEROY MERLIN - Mobiliers                          |000000000000000|000000000027,60|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |1        |20240101|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |01.04               |20240101|LEROY MERLIN - Mobiliers                          |000000000027,60|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |2        |20240101|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |01.05               |20240101|BUT - Mobiliers + Décos                           |000000000000000|000000000290,60|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |2        |20240101|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |01.05               |20240101|BUT - Mobiliers + Décos                           |000000000290,60|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |3        |20240115|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |01.06               |20240115|MAISONS DU MONDE - Chaises jardins                |000000000000000|000000000239,90|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |3        |20240115|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |01.06               |20240115|MAISONS DU MONDE - Chaises jardins                |000000000239,90|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |4        |20240125|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |01.01               |20240125|LEROY MERLIN - Sols                               |000000000000000|000000000351,80|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |4        |20240125|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |01.01               |20240125|LEROY MERLIN - Sols                               |000000000351,80|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |5        |20240125|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |01.03               |20240125|LEROY MERLIN - Sanitaire + Electricité            |000000000000000|000000001216,44|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |5        |20240125|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |01.03               |20240125|LEROY MERLIN - Sanitaire + Electricité            |000000001216,44|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |6        |20240127|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |01.02               |20240127|BATIVAL57 - Peinture + Pose Cuisine               |000000000000000|000000000880,06|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |6        |20240127|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |01.02               |20240127|BATIVAL57 - Peinture + Pose Cuisine               |000000000880,06|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |7        |20240203|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.21               |20240203|AMAZON - Coupe Légumes                            |000000000000000|000000000034,99|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |7        |20240203|606300              |FOURN. ENTRET. ET PT. EQUIPT.                     |                    |                                                  |02.21               |20240203|AMAZON - Coupe Légumes                            |000000000034,99|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |8        |20240206|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.15               |20240206|ECS HABITAT - Acompte Début Chantier              |000000000000000|000000003000,00|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |8        |20240206|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.15               |20240206|ECS HABITAT - Acompte Début Chantier              |000000003000,00|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |9        |20240207|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.02               |20240207|LEROY MERLIN - DECOUPE PLAN TRAVAIL               |000000000000000|000000000015,00|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |9        |20240207|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.02               |20240207|LEROY MERLIN - DECOUPE PLAN TRAVAIL               |000000000015,00|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |10       |20240207|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.08               |20240207|LEROY MERLIN - Avoir Sanitaires                   |000000000159,00|000000000000000|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |10       |20240207|606300              |FOURN. ENTRET. ET PT. EQUIPT.                     |                    |                                                  |02.08               |20240207|LEROY MERLIN - Avoir Sanitaires                   |000000000000000|000000000159,00|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |11       |20240207|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.10               |20240207|LEROY MERLIN - Sols                               |000000000000000|000000000351,80|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |11       |20240207|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.10               |20240207|LEROY MERLIN - Sols                               |000000000351,80|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |12       |20240212|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.14               |20240212|ECS HABITAT - Acompte                             |000000000000000|000000002800,00|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |12       |20240212|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.14               |20240212|ECS HABITAT - Acompte                             |000000002800,00|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |13       |20240213|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.09               |20240213|LEROY MERLIN - Sols                               |000000000000000|000000000169,60|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |13       |20240213|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.09               |20240213|LEROY MERLIN - Sols                               |000000000169,60|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |14       |20240213|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.18               |20240213|SPE METZ - Peintures                              |000000000000000|000000000075,35|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |14       |20240213|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.18               |20240213|SPE METZ - Peintures                              |000000000075,35|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |15       |20240215|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.07               |20240215|LEROY MERLIN - Divers Fournitures                 |000000000000000|000000000130,09|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |15       |20240215|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.07               |20240215|LEROY MERLIN - Divers Fournitures                 |000000000130,09|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |16       |20240216|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.12               |20240216|LEROY MERLIN - Electroménager                     |000000000000000|000000001626,21|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |16       |20240216|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.12               |20240216|LEROY MERLIN - Electroménager                     |000000001626,21|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |17       |20240216|401000              |FOURNISSEURS                                      |0DIVER              |DIVERS FOURNISSEURS                               |02.16               |20240216|LEROY MERLIN - Cuisine                            |000000000000000|000000004813,50|MAAA|20250404|20250407|               |          |        |     |                              |                              |
AC |ACHATS                        |17       |20240216|231000              |IMMO.CORPORELLES EN COURS                         |                    |                                                  |02.16               |20240216|LEROY MERLIN - Cuisine                            |000000004813,50|000000000000000|    |        |20250407|               |          |        |     |                              |                              |
